index,asm,correlation,variance,idm,entropy,sum_entropy,difference_entropy,sum_avg,contrast,energy,type
0,0.07506400132,-36707.37039,218.6168814,0.3393219548,-6.947114237999999,5.575086918999999,4.16011548,80.01922004,7173361,0.07506400132,Benign
1,0.04455488627,-32826.54363,249.6972049,0.2827640446,-7.642266058,5.998138415,4.42665319,80.00356501,7173361,0.04455488627,Benign
2,0.021680259869999996,-24594.76275,358.41386800000004,0.2113449826,-9.177549701,6.5439592189999995,5.065087609,80.00418501,7173361,0.021680259869999996,Benign
3,0.001190510467,-16827.87097,564.1301792,0.09012831083999999,-10.69993706,7.1823587479999995,5.653513011,80.01395003,7173361,0.001190510467,Benign
4,0.0032568400300000003,-21761.69042,421.2510028,0.1278963313,-10.2350525,7.014332372999999,5.353449992,79.99348999,7173361,0.0032568400300000003,Benign
5,0.001225029304,-18440.361269999998,516.9347739,0.0938291942,-10.63841691,7.128255203999999,5.592848266,79.99581499,7173361,0.001225029304,Benign
6,0.0011670956080000001,-17003.94824,558.782236,0.0947711953,-10.73370575,7.183358634,5.651928702999999,79.99488499,7173361,0.0011670956080000001,Benign
7,0.0074592886979999995,-24077.50992,370.3117704,0.15844046779999998,-9.635338792999999,6.824531537,5.16491869,80.01023002,7173361,0.0074592886979999995,Benign
8,0.001861412266,-20588.57558,449.471929,0.1085320166,-10.44078122,7.075173787000001,5.444274833,79.98573997,7173361,0.001861412266,Benign
9,0.02826196208,-29658.15292,285.3079052,0.2395509171,-8.334844906,6.304183096,4.709360197,80.00496001,7173361,0.02826196208,Benign
10,0.001379294131,-17929.19624,531.2238276,0.0998535104,-10.54903464,7.119164143,5.608165968,79.91598983,7173361,0.001379294131,Benign
11,0.0043202813429999995,-22472.57961,405.32293260000006,0.1368448934,-10.04878586,6.961571354,5.302423019,80.00914502,7173361,0.0043202813429999995,Benign
12,0.0031445528120000003,-17424.16173,553.0405427000001,0.1322453754,-10.20240021,7.016395362999999,5.569417861,79.97550995,7173361,0.0031445528120000003,Benign
13,0.03446943835,-30831.916989999998,273.7241828,0.25656817190000003,-8.100185284,6.185765933,4.62054344,80.00759502,7173361,0.03446943835,Benign
14,0.0038318257329999997,-22434.17634,405.45831969999995,0.1309457397,-10.06031521,6.968876309,5.3154618010000005,80.00899002,7173361,0.0038318257329999997,Benign
15,0.01787669782,-27708.13205,312.2494418,0.2064990009,-8.803912531,6.521743648999999,4.878092585,79.999535,7173361,0.01787669782,Benign
16,0.001301675547,-19278.07032,484.9995326,0.09545198882000001,-10.63481925,7.121914982000001,5.53304515,80.00155,7173361,0.001301675547,Benign
17,0.0012667672629999998,-17629.70083,543.7576629,0.08687673441,-10.55075419,7.125098094,5.6403330160000005,80.00558001,7173361,0.0012667672629999998,Benign
18,0.0024478609429999998,-20317.12879,457.3711375,0.1177914016,-10.38126764,7.043849664,5.450245259,80.03038006,7173361,0.0024478609429999998,Benign
19,0.001900849972,-20264.43709,461.9688437,0.10916097039999999,-10.43716002,7.057061285,5.483577257,79.96543493,7173361,0.001900849972,Benign
20,0.0020203474969999998,-20106.04515,460.1876589,0.1137676106,-10.52760495,7.099553042,5.458958608,79.98527497,7173361,0.0020203474969999998,Benign
21,0.02230194406,-28439.1722,301.2495338,0.2243481034,-8.631663682000001,6.4486279,4.790314713,79.997675,7173361,0.02230194406,Benign
